consumption,interval_start,interval_end,date,time
0.181,2022-05-26T13:00:00Z,2022-05-26T13:30:00Z,2022-05-26,13:00:00
0.044,2022-05-26T13:30:00Z,2022-05-26T14:00:00Z,2022-05-26,13:30:00
0.02,2022-05-26T14:00:00Z,2022-05-26T14:30:00Z,2022-05-26,14:00:00
0.046,2022-05-26T14:30:00Z,2022-05-26T15:00:00Z,2022-05-26,14:30:00
0.033,2022-05-26T15:00:00Z,2022-05-26T15:30:00Z,2022-05-26,15:00:00
0.026,2022-05-26T15:30:00Z,2022-05-26T16:00:00Z,2022-05-26,15:30:00
0.037,2022-05-26T16:00:00Z,2022-05-26T16:30:00Z,2022-05-26,16:00:00
0.221,2022-05-26T16:30:00Z,2022-05-26T17:00:00Z,2022-05-26,16:30:00
0.608,2022-05-26T17:00:00Z,2022-05-26T17:30:00Z,2022-05-26,17:00:00
0.312,2022-05-26T17:30:00Z,2022-05-26T18:00:00Z,2022-05-26,17:30:00
0.039,2022-05-26T18:00:00Z,2022-05-26T18:30:00Z,2022-05-26,18:00:00
0.047,2022-05-26T18:30:00Z,2022-05-26T19:00:00Z,2022-05-26,18:30:00
0.083,2022-05-26T19:00:00Z,2022-05-26T19:30:00Z,2022-05-26,19:00:00
0.049,2022-05-26T19:30:00Z,2022-05-26T20:00:00Z,2022-05-26,19:30:00
0.07,2022-05-26T20:00:00Z,2022-05-26T20:30:00Z,2022-05-26,20:00:00
0.04,2022-05-26T20:30:00Z,2022-05-26T21:00:00Z,2022-05-26,20:30:00
0.061,2022-05-26T21:00:00Z,2022-05-26T21:30:00Z,2022-05-26,21:00:00
0.048,2022-05-26T21:30:00Z,2022-05-26T22:00:00Z,2022-05-26,21:30:00
1.088,2022-05-26T22:00:00Z,2022-05-26T22:30:00Z,2022-05-26,22:00:00
1.555,2022-05-26T22:30:00Z,2022-05-26T23:00:00Z,2022-05-26,22:30:00
1.474,2022-05-26T23:00:00Z,2022-05-26T23:30:00Z,2022-05-26,23:00:00
0.017,2022-05-26T23:30:00Z,2022-05-27T00:00:00Z,2022-05-26,23:30:00
0.036,2022-05-27T00:00:00Z,2022-05-27T00:30:00Z,2022-05-27,00:00:00
0.331,2022-05-27T00:30:00Z,2022-05-27T01:00:00Z,2022-05-27,00:30:00
0.036,2022-05-27T01:00:00Z,2022-05-27T01:30:00Z,2022-05-27,01:00:00
0.014,2022-05-27T01:30:00Z,2022-05-27T02:00:00Z,2022-05-27,01:30:00
0.035,2022-05-27T02:00:00Z,2022-05-27T02:30:00Z,2022-05-27,02:00:00
0.015,2022-05-27T02:30:00Z,2022-05-27T03:00:00Z,2022-05-27,02:30:00
0.038,2022-05-27T03:00:00Z,2022-05-27T03:30:00Z,2022-05-27,03:00:00
0.015,2022-05-27T03:30:00Z,2022-05-27T04:00:00Z,2022-05-27,03:30:00
0.036,2022-05-27T04:00:00Z,2022-05-27T04:30:00Z,2022-05-27,04:00:00
0.014,2022-05-27T04:30:00Z,2022-05-27T05:00:00Z,2022-05-27,04:30:00
0.185,2022-05-27T05:00:00Z,2022-05-27T05:30:00Z,2022-05-27,05:00:00
0.434,2022-05-27T05:30:00Z,2022-05-27T06:00:00Z,2022-05-27,05:30:00
0.053,2022-05-27T06:00:00Z,2022-05-27T06:30:00Z,2022-05-27,06:00:00
0.216,2022-05-27T06:30:00Z,2022-05-27T07:00:00Z,2022-05-27,06:30:00
0.255,2022-05-27T07:00:00Z,2022-05-27T07:30:00Z,2022-05-27,07:00:00
0.058,2022-05-27T07:30:00Z,2022-05-27T08:00:00Z,2022-05-27,07:30:00
0.093,2022-05-27T08:00:00Z,2022-05-27T08:30:00Z,2022-05-27,08:00:00
0.02,2022-05-27T08:30:00Z,2022-05-27T09:00:00Z,2022-05-27,08:30:00
0.097,2022-05-27T09:00:00Z,2022-05-27T09:30:00Z,2022-05-27,09:00:00
0.024,2022-05-27T09:30:00Z,2022-05-27T10:00:00Z,2022-05-27,09:30:00
0.041,2022-05-27T10:00:00Z,2022-05-27T10:30:00Z,2022-05-27,10:00:00
